file,totalPages,testedPage,section,records,warnings,lowConfidence,classifications,applications,firstTitle,warningBreakdown,error
20050925_39-2005_1_bd1538aad057cb65.pdf,128,25,applicationPublication,1,0,0,1,"[""112/CHE/2009 A""]",METHOD AND APPARATUS FOR CHECKOUT TRANSITION IN AN E-COMMERCE APPLICATION,{},""""""
20070105_1-2007_1_7c2ba9f1672f64b7.pdf,399,25,applicationPublication,1,1,0,1,"[""00813/DELNP/2003 A""]","'DIMETHYL TEREPHTHALATE COMPOSITION AND METHOD FOR PRODUCING SAME""","{""Missing or malformed page/claim counts"":1}",""""""
20070112_2-2007_1_8ff1b28306df67d5.pdf,593,25,applicationPublication,1,1,0,1,"[""IN/PCT/2001/00721/MUM A""]",SKIN LIGHTENING COMPOSITION,"{""Missing or malformed page/claim counts"":1}",""""""
20070119_3-2007_1_a5b2af9a4bc9875d.pdf,355,25,applicationPublication,1,1,0,1,"[""IN/PCT/2000/00673/MUM A""]",RADIAL TYRE REINFORCED TYRE BEAD,"{""Missing or malformed page/claim counts"":1}",""""""
20070126_4-2007_1_8afc49230a29bd50.pdf,319,25,applicationPublication,1,1,0,1,"[""2031/MUM/2006 A""]",A DEVICE FOR CONTROLLING OVERSPEEDING OF AUTOMOBILES,"{""Missing or malformed page/claim counts"":1}",""""""
20070202_5-2007_1_aac267466cc27ab1.pdf,342,25,applicationPublication,1,1,0,1,"[""44/MUM/2007 A""]",A NEW CONCEPT IN MICRO-BEAD AGITATOR MILLING THE MULTI-ROTOR MILL,"{""Missing or malformed page/claim counts"":1}",""""""
20070209_6-2007_1_f8c403b8dd5238ce.pdf,412,25,applicationPublication,1,1,0,1,"[""131/MAS/2002 A""]",A RAIN GUARD FOR USE ON A LATEX BEARING TREE,"{""Missing or malformed page/claim counts"":1}",""""""
20070216_7-2007_1_957e99ff9922c13e.pdf,167,25,applicationPublication,1,1,0,1,"[""450/MUMNP/2006 A""]",METHOD AND APPARATUS FOR FEEDBACK REPORTING IN A WIRELESS COMMUNICATIONS SYSTEM,"{""Missing or malformed page/claim counts"":1}",""""""
20070223_8-2007_1_5c7cf3e4125c4a7d.pdf,573,25,applicationPublication,1,1,0,1,"[""IN/PCT/2000/596/CHE A""]",IMMERSION SENSOR FOR MONITORING OF ALUMINIUM ELECTROLYSIS CELLS,"{""Missing or malformed page/claim counts"":1}",""""""
20070302_9-2007_1_4065d7a4e2d3d2c5.pdf,860,25,applicationPublication,1,1,0,1,"[""172/MUM/2006 A""]",DEVICE TO SAVE WASTAGE OF WATER FROM TAPS LEFT INADVERTENTLY OPEN DURING WATER OUTAGES,"{""Missing or malformed page/claim counts"":1}",""""""
20070309_10-2007_1_d31a57f0247498c6.pdf,884,25,applicationPublication,1,1,0,1,"[""00022/DEL/2000 A""]","'METHODS AND APPARATUS FOR WATER INJECTION IN A TURBINE ENGINE""","{""Missing or malformed page/claim counts"":1}",""""""
20070316_11-2007_1_48e416a156ee3314.pdf,1121,25,frontMatter,0,0,0,0,[],"""""",{},""""""
20070323_12-2007_1_b55ea705cc181346.pdf,303,25,applicationPublication,1,0,0,2,"[""1195/MUMNP/2005 A""]","PHARMACEUTICAL COMBINATIONS COMPRISING LAMIVUDINE,ZIDOVUDINE AND EFAVIRENZ FOR TREATING VIRAL INFECTIONS",{},""""""
20070330_13-2007_1_af085fb6c295bfae.pdf,631,25,applicationPublication,1,0,0,2,"[""251/KOL/2007 A""]",PRATIK AERO ELECTRICAL SUPER GENERATOR,{},""""""
20070406_14-2007_1_9369446a491afd12.pdf,693,25,applicationPublication,1,0,0,1,"[""682/DEL/2007 A""]",A PROCESS FOR MAKING TYRO-BELT FOR RIMS OF VEHICLES,{},""""""
20070413_15-2007_1_079724309de07c3e.pdf,1020,25,applicationPublication,1,0,0,1,"[""1005/MUMNP/2006 A""]",METHOD AND APPARATUS FOR PERFORMING POSITION DETERMINATION WITH A SHORT CIRCUIT CALL FLOW,{},""""""
20070420_16-2007_1_d8b084191e89d5ff.pdf,979,25,applicationPublication,1,0,0,1,"[""508/MUMNP/2006 A""]",RED BLEACHING COMPOSITIONS,{},""""""
20070427_17-2007_1_f0d05f1cf44236a3.pdf,1757,25,applicationPublication,1,1,0,1,"[""1292/KOL/2006 A""]",ORGANO-REFINING PROCESS TO PRODUCE LOW ASH(<4%)CLEAN COAL WITH MAXIMUM POSSIBLE YIELD,"{""Missing or malformed page/claim counts"":1}",""""""
20070504_18-2007_1_0616a80935443750.pdf,606,25,applicationPublication,1,1,0,1,"[""922/KOL/2006 A""]",CLEANING MACHINE OF COMPONENTS IN MANUFACTURING FLOORS.,"{""Missing or malformed page/claim counts"":1}",""""""
20070511_19-2007_1_2001cd3e3640abf0.pdf,759,25,applicationPublication,1,0,0,1,"[""793/CHE/2007 A""]",COMPATIBLE DRAFTER MACHINE,{},""""""
20070518_20-2007_1_69769deb6f6a0cae.pdf,946,25,frontMatter,0,0,0,0,[],"""""",{},""""""
20070525_21-2007_1_b4f7ccb72599320e.pdf,968,25,applicationPublication,1,0,0,1,"[""913/MUM/2007 A""]",DUST SEPERATOR,{},""""""
20070601_22-2007_1_60cf4297214fb49a.pdf,856,25,applicationPublication,1,0,0,1,"[""2092/MUM/2006 A""]","A PROCESS FOR PREPARING 2-[(2,6-DICHLOROPHENYL) AMINO] BENZENEACETIC ACID CARBOXYMETHYL ESTER",{},""""""
20070608_23-2007_1_205f153792718669.pdf,997,25,applicationPublication,1,1,0,1,"[""933/MUM/2007 A""]",DESIGN AND DEVELOPMENT OF LOW ENERGY ULTRASONIC DYEING MACHINE,"{""Missing or malformed page/claim counts"":1}",""""""
20070608_23-2007_2_804e09fa13387658.pdf,1316,25,applicationPublication,1,1,0,1,"[""2520/CHENP/2006 A""]","BLOCK CIPHERING SYSTEM, USING PERMUTATIONS TO HIDE THE CORE CIPHERING FUNCTION OF EACH ENCRYPTION ROUND","{""Missing or malformed page/claim counts"":1}",""""""
20070615_24-2007_1_256ae7d70e0e2bd4.pdf,1911,25,applicationPublication,1,1,0,1,"[""1032/CHENP/2005 A""]",ARRANGEMENT FOR THE PRODUCTION OF A THREE-DIMENSIONAL PRODUCT,"{""Missing or malformed page/claim counts"":1}",""""""
20070622_25-2007_1_f535815ce418e105.pdf,1253,25,applicationPublication,1,1,0,1,"[""2951/CHENP/2005 A""]",PYRIMIDINE COMPOUNDS AND PESTS CONTROLLING COMPOSITION CONTAINING THE SAME,"{""Missing or malformed page/claim counts"":1}",""""""
20070622_25-2007_2_02dbf12f0e51a9f4.pdf,878,25,applicationPublication,1,1,0,1,"[""2123/DELNP/2006 A""]","""PLUG-IN CONNECTION FOR PIPE AND HOSE LINES WITH REINFORCED MATERIAL CROSS-SECTION""","{""Missing or malformed page/claim counts"":1}",""""""
20070629_26-2007_1_860a916229056227.pdf,1025,25,applicationPublication,1,0,0,1,"[""IN/PCT/2001/1214/CHEA""]",PROCESS FOR PRODUCING CHEESE,{},""""""
20070629_26-2007_2_e8abf329e3204774.pdf,904,25,applicationPublication,1,1,0,1,"[""1091/MUM/2005 A""]",YARN SENSOR,"{""Missing or malformed page/claim counts"":1}",""""""
20070706_27-2007_1_f2dfb8038a9feb8d.pdf,1342,25,applicationPublication,1,1,0,1,"[""1153/CHE/2007 A""]",A CARDING MACHINE FOR PROCESSING FIBER MATERIAL,"{""Missing or malformed page/claim counts"":1}",""""""
20070706_27-2007_2_d0098c74b518a0a8.pdf,578,25,applicationPublication,1,1,0,1,"[""02238/KOLNP/2005 A""]",METHOD FOR FORMING LEAD-ACID BATTERIES AND PLANT FOR IMPLEMENTING SAID METHOD,"{""Missing or malformed page/claim counts"":1}",""""""
20070713_28-2007_1_c86f83c0212f0fb5.pdf,990,25,applicationPublication,1,1,0,1,"[""1235/MUMNP/2006 A""]",IMAGING CATHETER,"{""Missing or malformed page/claim counts"":1}",""""""
20070713_28-2007_2_5616e5366270e349.pdf,578,25,applicationPublication,1,1,0,1,"[""00727/KOLNP/2005 A""]",A SUBSCRIBER DEVICE WITH ADAPTABLE USER INTERFACE AND METHOD THEREOF,"{""Missing or malformed page/claim counts"":1}",""""""
20070720_29-2007_1_faf8ef660da08048.pdf,833,25,applicationPublication,1,1,0,1,"[""1166/MUM/2005 A""]",PROCESS FOR THE PREPARATION OF LAMOTRIGINE,"{""Missing or malformed page/claim counts"":1}",""""""
20070720_29-2007_2_393d020a37d8ba74.pdf,497,25,applicationPublication,1,1,0,4,"[""01180/KOL/2005 A""]",SENSOR HOUSE,"{""Missing or malformed page/claim counts"":1}",""""""
20070727_30-2007_1_74088dfa97c22f91.pdf,1215,25,applicationPublication,1,1,0,1,"[""1004/MAS/2002 A""]",SQUARE COIR BRUSH MAT,"{""Missing or malformed page/claim counts"":1}",""""""
20070727_30-2007_2_8a378cde07c93c81.pdf,532,25,applicationPublication,1,1,0,1,"[""00177/KOLNP/2006 A""]","""METHOD AND DEVICE FOR COLLECTING FRESH WATER""","{""Missing or malformed page/claim counts"":1}",""""""
20070803_31-2007_1_aee5c63bc9a161db.pdf,822,25,applicationPublication,1,1,0,1,"[""695/MUM/2007 A""]",INJECTABLE FORMULATIONS AND PROCESS FOR PREPARATION THEREOF,"{""Missing or malformed page/claim counts"":1}",""""""
20070803_31-2007_2_8b9d302ad5251409.pdf,1493,25,applicationPublication,1,1,0,1,"[""1009/DELNP/2007 A""]",COMINATION THERAPIES EMPLOYING PLATELET AGGREGATION DRUGS,"{""Missing or malformed page/claim counts"":1}",""""""
20070803_31-2007_3_a84c12c8530aedaa.pdf,1464,25,applicationPublication,1,1,0,1,"[""2595/DELNP/2007 A""]","""INTERLEUKIN-9 AND INTERLEUKIN-4 CHIMERIC ANTAGONISTS MUTEINS AND METHODS OF USING SAME""","{""Missing or malformed page/claim counts"":1}",""""""
20070810_32-2007_1_b373ae5ad3852573.pdf,800,25,applicationPublication,1,1,0,1,"[""958/MUM/2007 A""]",COMPOSITION CONTAINING FENTANYL BASE AROMATIC OILS AND ALKYL SALICYLATE FOR THE DELIVERY OF FENTANYL BASE IN VAPOUR FORM,"{""Missing or malformed page/claim counts"":1}",""""""
20070810_32-2007_2_7ef41488262f2153.pdf,797,25,applicationPublication,1,1,0,1,"[""452/DEL/2006 A""]","""METHOD AND METHOD FOR PERFORMING STREAMING CHECKS ON DATA FORMAT FOR UDTS""","{""Missing or malformed page/claim counts"":1}",""""""
20070810_32-2007_3_1c938daee674d647.pdf,1006,25,applicationPublication,1,1,0,1,"[""1229/CHENP/2006 A""]",FASTENING ELEMENT AND ARTICLE EQUIPPED WITH SAME,"{""Missing or malformed page/claim counts"":1}",""""""
20070817_33-2007_1_b154d0d464fc17e7.pdf,1670,25,frontMatter,0,0,0,0,[],"""""",{},""""""
20070817_33-2007_2_fbee4053f1d599ee.pdf,1500,25,applicationPublication,1,1,0,1,"[""3518/DELNP/2005 A""]","""CUSTOM PROSTHETIC LINER MANUFACTURING SYSTEM AND METHOD""","{""Missing or malformed page/claim counts"":1}",""""""
20070817_33-2007_3_1a9aee4c175d7e37.pdf,700,25,applicationPublication,1,1,0,1,"[""4858/DELNP/2005 A""]","""THERMOELECTRIC, HIGH-EFFICIENCY, WATER GENERATING DEVICE""","{""Missing or malformed page/claim counts"":1}",""""""
20070824_34-2007_1_f55bda31c0759370.pdf,1600,25,applicationPublication,1,1,0,1,"[""1000/CHENP/2007 A""]",SEALING OF FLAT-PANEL DEVICE,"{""Missing or malformed page/claim counts"":1}",""""""
20070824_34-2007_2_2735a74b37b6984c.pdf,1000,25,applicationPublication,1,1,0,1,"[""1790/DEL/2005 A""]",METHOD FOR DESIGNING AND/OR PROVIDING AND/OR MANAGING SUBSCRIBER SERVICES IN A TELECOMMUNICATIONS NETWORK,"{""Missing or malformed page/claim counts"":1}",""""""
20070824_34-2007_3_b238066954e5744f.pdf,725,25,applicationPublication,1,1,0,1,"[""3887/DELNP/2005 A""]","""THERAPEUTIC COMPOSITIONS""","{""Missing or malformed page/claim counts"":1}",""""""
20070831_35-2007_1_b655a808f5d56c3c.pdf,2262,25,applicationPublication,1,1,0,3,"[""425/CHE/2007 A""]",SYSTEM AND METHOD FOR MEASURING THE TEMPERATURE OF THE PRODUCTS,"{""Missing or malformed page/claim counts"":1}",""""""
20070831_35-2007_2_d87448201e2275ee.pdf,900,25,applicationPublication,1,1,0,1,"[""3927/DELNP/2007 A""]",NOVEL AMINOPYRIDINE DERIVATIVES HAVING SELECTIVE AURORA-A INHIBITORY EFFECT,"{""Missing or malformed page/claim counts"":1}",""""""
20070831_35-2007_3_12465a8135980bf1.pdf,846,25,applicationPublication,1,1,0,1,"[""4221/DELNP/2005 A""]","""NUCLEIC ACID MISMATCH DETECTION""","{""Missing or malformed page/claim counts"":1}",""""""
